Ref,Val,Package,PosX,PosY,Rot,Side
"C113","100nF","GSG-0402",123.151200,-165.466000,270.000000,top
"C114","3.3nF","GSG-0402",116.776500,-138.341100,270.000000,top
"C115","33pF","GSG-0402",122.814200,-161.614200,180.000000,top
"C116","47pF","GSG-0402",120.858400,-160.547400,180.000000,top
"C117","100nF","GSG-0402",73.281400,-157.353400,180.000000,top
"C118","18pF","GSG-0402",160.900000,-155.100000,180.000000,top
"C119","100nF","GSG-0402",129.247200,-158.481000,90.000000,top
"C120","100nF","GSG-0402",131.628000,-160.623600,90.000000,top
"C121","100nF","GSG-0402",122.026800,-162.706400,180.000000,top
"C122","100nF","GSG-0402",125.836800,-158.312200,180.000000,top
"C123","100nF","GSG-0402",108.991400,-113.058700,0.000000,top
"C124","2.2uF","GSG-0402",108.991400,-112.042700,0.000000,top
"C125","33pF","GSG-0402",173.467000,-117.793200,180.000000,top
"C126","10uF","GSG-0805",169.530000,-117.412200,0.000000,top
"C127","10uF","GSG-0805",169.530000,-115.253200,0.000000,top
"C128","100nF","GSG-0402",150.846280,-123.279349,135.000000,top
"C129","100nF","GSG-0402",143.931482,-125.344808,135.000000,top
"C130","100nF","GSG-0402",137.555501,-131.720790,135.000000,top
"C131","100nF","GSG-0402",132.898000,-137.001600,180.000000,top
"C132","100nF","GSG-0402",134.498200,-145.713800,225.000000,top
"C133","100nF","GSG-0402",140.429183,-151.477353,225.000000,top
"C134","100nF","GSG-0402",145.009113,-156.057284,225.000000,top
"C135","100nF","GSG-0402",153.809764,-155.698074,315.000000,top
"C136","100nF","GSG-0402",159.467325,-150.040512,315.000000,top
"C137","100nF","GSG-0402",160.904166,-148.603671,315.000000,top
"C138","100nF","GSG-0402",162.969625,-146.538212,315.000000,top
"C139","100nF","GSG-0402",164.406466,-145.101371,315.000000,top
"C140","100nF","GSG-0402",164.945282,-136.480325,315.000000,top
"C141","100nF","GSG-0402",157.312064,-127.589872,45.000000,top
"C142","100nF","GSG-0402",160.095943,-130.553356,45.000000,top
"C143","10uF","GSG-0805",174.483000,-112.078200,270.000000,top
"C144","100nF","GSG-0402",153.619200,-160.578800,180.000000,top
"C145","10uF","GSG-0805",169.530000,-108.649200,180.000000,top
"C146","10uF","GSG-0805",169.530000,-106.490200,180.000000,top
"C147","100nF","GSG-0402",172.832000,-112.078200,270.000000,top
"C148","100nF","GSG-0402",137.668000,-118.160800,270.000000,top
"C149","100nF","GSG-0402",138.587600,-111.703200,0.000000,top
"C150","100nF","GSG-0402",130.810000,-105.587800,90.000000,top
"C151","100nF","GSG-0402",117.094000,-108.381800,90.000000,top
"C152","100nF","GSG-0402",124.414400,-128.010000,0.000000,top
"C153","100nF","GSG-0402",114.554000,-117.017800,180.000000,top
"C154","100nF","GSG-0402",118.496200,-126.689200,180.000000,top
"C156","47pF","GSG-0402",122.763400,-158.998000,180.000000,top
"C157","18pF","GSG-0402",164.316664,-134.235261,45.000000,top
"C158","18pF","GSG-0402",164.855479,-130.463554,315.000000,top
"C159","100pF","GSG-0402",130.993000,-150.971600,180.000000,top
"C160","100pF","GSG-0402",83.085800,-155.550000,270.000000,top
"C161","1uF","GSG-0402",82.019000,-155.550000,270.000000,top
"C162","10nF","GSG-0402",81.130000,-161.239600,180.000000,top
"C163","10nF","GSG-0402",69.750800,-150.393800,0.000000,top
"C164","18pF","GSG-0402",162.000000,-151.900000,0.000000,top
"C165","100pF","GSG-0402",134.701400,-166.795800,180.000000,top
"C166","100nF","GSG-0402",119.715400,-166.135400,270.000000,top
"C167","100nF","GSG-0402",81.793200,-120.110600,270.000000,top
"C168","100pF","GSG-0402",139.756000,-127.502000,180.000000,top
"C169","1.8pF","GSG-0402",127.381000,-169.900600,180.000000,top
"C170","1.8pF","GSG-0402",122.500000,-168.200000,90.000000,top
"C171","1uF","GSG-0402",77.929600,-167.284800,0.000000,top
"C172","100nF","GSG-0402",70.639800,-160.655400,270.000000,top
"C173","1pF","GSG-0402",72.595600,-167.030800,270.000000,top
"D1","BAS70-04","SOT-23",171.409220,-167.173040,180.000000,top
"D2","VAALED","LTST-S220",61.270000,-135.122000,270.000000,top
